说话人,文本内容,source
NPC,许野，,1
NPC,你真的要跟顾梦瑶离婚吗？,1
NPC,再考虑一下吧。,1
许野,不要考虑了，我的人生，,1
许野,我的人生已经被她给毁了，,1
许野,你说我当初怎么会看上她呀，,1
许野,如果这上天，能给我再来一次的机会就好了。,1
许野,顾梦瑶，这个家里的钱都去哪儿了？,1
顾梦瑶,我用了，怎么了？,1
顾梦瑶,谁让你每个月就只挣那么点钱呢？,1
许野,公司里十几个兄弟，,1
许野,等着我发工资呢。,1
许野,我要是发不了工资，,1
许野,我只能把去年买的那套房子给卖了，,1
许野,你知道吗？,1
许野,哎，,1
许野,让开，让开，房产证呢，给我。,1
顾梦瑶,我把房子给我弟弟了，,1
顾梦瑶,他马上就要结婚了，,1
顾梦瑶,我把房子送给他。,1
许野,顾梦瑶，,1
许野,你现在去，去把房产证给我拿回来。,1
顾梦瑶,要不回来了。,1
顾梦瑶,那房产证上已经是他的名字。,1
许野,那我只能把这套房子给卖了。,1
顾梦瑶,许野我告诉你，,1
顾梦瑶,你要是敢把这房子卖了，,1
顾梦瑶,咱俩离婚。,1
许野,离就离！,1
顾梦瑶,你凭什么跟我离婚啊，当初是你追的我！,1
许野,是我眼瞎，行了吧！,1
许野,现在，在高考，,1
许野,我回到了二零一四年高考的考场。,1
许野,啊，,2
许野,英语是高考最后一课，,2
许野,我前市的语文数学理综的分数都很高。,2
许野,如果英语能考好，,2
许野,一本不是问题。,2
许野,当初考完后，,2
许野,我还特地对了几遍英语试卷答案，,2
许野,只可惜啊，过去太久了。,2
许野,等等，,2
许野,这是怎么回事？,2
许野,不对不对，怎么这么多年过去了，,2
许野,我还记得这些答案，,2
许野,这难道是重生后的福利吗？,2
许野,我许野重生了！,2
秦志伟,许野，不是说好考完等我？,2
秦志伟,你丫的怎么自己走了。你考怎么样？,2
许野,伟哥，,2
许野,谁能想到，,2
许野,我们昨晚还在一起喝酒，,2
许野,今天我就重生来见你了。,2
许野,还行吧，,2
许野,一本呢没啥问题，,2
秦志伟,你能考上一本老子跟你姓。,2
许野,走走走，问问你爸答不答应。,2
许野,我前世遇到了顾梦瑶，,2
许野,你也被老婆绿了，,2
许野,咱俩在感情方面的运气还真是不好。,2
秦志伟,你一会儿干嘛去啊？,2
许野,我要跟我爸妈一起吃饭去。,2
秦志伟,什么情况，,2
秦志伟,你不追顾梦瑶啊？,2
许野,都重生了，,2
许野,谁还追他呀？,2
许向东,小许，小许，这儿！,3
许野,爸！妈！,3
张虹,怎么样？,3
张虹,考的怎么样啊？,3
许向东,看你这个人，刚不是说了不问的吗？,3
张虹,我关心儿子，,3
张虹,关你什么事。,3
许向东,你看你妈。,3
顾梦瑶,你会不会做饭啊！,3
顾梦瑶,这菜做那么咸，,3
顾梦瑶,让人怎么吃啊？,3
许野,呃，,3
许野,先将就一下吧。,3
顾梦瑶,怎么将就啊，饭做的不好，,3
顾梦瑶,还不让人说了是吗？,3
张虹,对不起，,3
张虹,我再重做一份。,3
顾梦瑶,做什么做啊，,3
顾梦瑶,我点外卖。,3
许野,前世顾梦瑶嫁给我之后，,3
许野,对我爸妈颐指气使，,3
许野,他们为了我只能处处忍让，,3
许野,五十多岁就白了头发。,3
许野,这辈子我要挣钱，,3
许野,不会让他们再受苦了。,3
许向东,儿子，不管考的怎么样，,3
许向东,咱不要去想了。,3
张虹,对。,3
许向东,今天咱父子俩不醉不归。,3
张虹,对，,3
张虹,不管考多少分，,3
张虹,你都是我的好儿子。,3
许野,其实我这次考的挺好的，,3
许野,上个一本估计没啥问题。,3
张虹,啊？！,3
许向东,真的假的你？,3
张虹,好，好啊。,3
许野,妈，你辛苦了。,3
张虹,说什么怎么这么恶心啊？,3
许向东,真是的。,3
许野,就是突然看到你手上的老茧，,3
许野,觉得您为这个家付出的太多了。,3
张虹,这孩子。,3
许野,哎呀，,3
许野,行了，没事儿啊。,3
顾梦瑶,考完了没，给你个机会过来，,3
顾梦瑶,请我吃饭。,3
许野,顾梦瑶。,3
许野,前世我跟你表白，,4
许野,你都会故意找借口拒绝。,4
许向东,哎呀，,4
许野,现在看来你只是把我当备胎，没空。,4
顾梦瑶,你这样，我以后就不理你了。,4
许野,好的，,4
张虹,怎么了儿子？,4
许野,没事儿，,4
许野,我们走吧。,4
张虹,好。,4
许野,如果我没有记错，,4
许野,A股之后，,4
许野,最后一个牛市就要来了，,4
许野,我得抓紧挣到第一桶金，搭上这辆快车。,4
许野,好的。,4
顾梦瑶,气死我了。,4
刘倩,梦瑶，怎么了？,4
顾梦瑶,你自己看吧，,4
顾梦瑶,许野他居然敢这样回复我。,4
刘倩,他是不是因为你最近对他太冷淡了，,4
