原始行号,说话人,文本内容,source,BERTopic主题ID_Erlangshen,事件ID_Hybrid_V5,是否为新事件开始_Hybrid_V5
1,NPC,许野，,1,-1,1,TRUE
2,NPC,你真的要跟顾梦瑶离婚吗？,1,-1,1,FALSE
3,NPC,再考虑一下吧。,1,1,1,FALSE
4,许野,不要考虑了，我的人生，,1,0,1,FALSE
5,许野,我的人生已经被她给毁了，,1,0,1,FALSE
6,许野,你说我当初怎么会看上她呀，,1,0,1,FALSE
7,许野,如果这上天，能给我再来一次的机会就好了。,1,0,1,FALSE
8,许野,顾梦瑶，这个家里的钱都去哪儿了？,1,-1,1,FALSE
9,顾梦瑶,我用了，怎么了？,1,0,1,FALSE
10,顾梦瑶,谁让你每个月就只挣那么点钱呢？,1,-1,1,FALSE
11,许野,公司里十几个兄弟，,1,0,1,FALSE
12,许野,等着我发工资呢。,1,0,1,FALSE
13,许野,我要是发不了工资，,1,0,1,FALSE
14,许野,我只能把去年买的那套房子给卖了，,1,0,1,FALSE
15,许野,你知道吗？,1,0,1,FALSE
16,许野,哎，,1,-1,1,FALSE
17,许野,让开，让开，房产证呢，给我。,1,-1,1,FALSE
18,顾梦瑶,我把房子给我弟弟了，,1,-1,2,TRUE
19,顾梦瑶,他马上就要结婚了，,1,-1,2,FALSE
20,顾梦瑶,我把房子送给他。,1,-1,2,FALSE
21,许野,顾梦瑶，,1,0,2,FALSE
22,许野,你现在去，去把房产证给我拿回来。,1,0,2,FALSE
23,顾梦瑶,要不回来了。,1,1,2,FALSE
24,顾梦瑶,那房产证上已经是他的名字。,1,-1,2,FALSE
25,许野,那我只能把这套房子给卖了。,1,-1,3,TRUE
26,顾梦瑶,许野我告诉你，,1,-1,3,FALSE
27,顾梦瑶,你要是敢把这房子卖了，,1,-1,3,FALSE
28,顾梦瑶,咱俩离婚。,1,-1,3,FALSE
29,许野,离就离！,1,-1,3,FALSE
30,顾梦瑶,你凭什么跟我离婚啊，当初是你追的我！,1,0,3,FALSE
31,许野,是我眼瞎，行了吧！,1,-1,3,FALSE
32,许野,现在，在高考，,1,0,3,FALSE
33,许野,我回到了二零一四年高考的考场。,1,0,3,FALSE
34,许野,啊，,2,0,4,TRUE
35,许野,英语是高考最后一课，,2,0,4,FALSE
36,许野,我前市的语文数学理综的分数都很高。,2,0,4,FALSE
37,许野,如果英语能考好，,2,1,4,FALSE
38,许野,一本不是问题。,2,1,4,FALSE
39,许野,当初考完后，,2,1,4,FALSE
40,许野,我还特地对了几遍英语试卷答案，,2,1,4,FALSE
